Class,labels,text,texts
#โรคซึมเศร้า,1,บางครั้งการเสียสละด้วยการเป็นแม่คนนั้นก็แลกมาด้วยอะไรหลายๆอย่างเช่นชีวิตอนาคตความฝันอดทนและกล้าหาญเป็นต้นซึ่งเราพร้อมที่เสียสละอย่างเต็มใจด้วยความกดดันโดยบางครั้งต้องการความเข้าใจจากคู่ชีวิตเท่านั้นเองฉันกำลังจะเป็นโรคซึมเศร้าโรคซึมเศร้าซึมเศร้า,"เสียสละ,แม่,คน,แลก,ชีวิต,อนาคต,ความฝัน,อดทน,กล้าหาญ,เสียสละ,เต็มใจ,ความกดดัน,ต้องการ,ความเข้าใจ,คู่ชีวิต,เท่านั้นเอง,เป็นโรค,ซึมเศร้า,โรค,ซึมเศร้า,ซึมเศร้า"
#โรคซึมเศร้า,1,เราอยู่ข้างนอกคือคนยิ้มเก่งหันมาเมื่อไหร่เห็นเรายิ้มให้เสมอข้อดีเราคือคนยิ้มเก่งแต่ในใจทำไมมันพังอย่างนี้วะเราทั้งไม่รู้สึกรักใครและไม่รับความรู้สึกจากใครด้วยมันมืดไปหมดว่างเปล่าโดดเดี่ยวทั้งที่มีคนพุ่งจะเข้าหาโรคซึมเศร้า,"ข้างนอก,คน,ยิ้ม,เก่ง,หันมา,ยิ้ม,เสมอ,ข้อดี,คน,ยิ้ม,เก่ง,ใจ,พัง,วะ,รู้สึก,รัก,ความรู้สึก,มืด,ว่างเปล่า,โดดเดี่ยว,คน,พุ่ง,เข้าหา,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ฉันเกลียดตัวเองมากกว่าที่เธอคิดสะอีกนะโรคซึมเศร้า,"เกลียด,ตัวเอง,สะ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,การมีชีวิตอยู่นั้นละเจ็บปวดโรคซึมเศร้า,"มีชีวิต,เจ็บปวด,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เหมาะแกฉันที่เป็นอยู่โรคซึมเศร้า,"เหมาะ,เป็นอยู่,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,หากโลกนี้ไม่มีฉันดวงอาทิตย์กับดวงจันทร์ก็จะยังคงขึ้นและลงตามเดิมการมีอยู่ของฉันจะไม่เปลี่ยนแปลงอะไรโรคซึมเศร้า,"โลก,ดวงอาทิตย์,ดวงจันทร์,ตามเดิม,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,มันแย่ตรงถ้าเราไปยืนในสังคมทุกคนจะเอาแต่บอกว่าเราคิดมากทั้งที่เราปล่อยให้คำพูดนั้นทำร้ายเรามาครั้งหลังเลิกงานจะมีที่ประจำคือสะพานลอยอยากตายทุกครั้งแต่ทำได้แค่ดูแล้วเดินกลับห้องโรคซึมเศร้า,"แย่,ยืน,สังคม,เอาแต่,บอ,คิดมาก,ปล่อย,คำพูด,ทำร้าย,เลิกงาน,ประจำ,สะพานลอย,ตาย,ทำได้,ดู,เดิน,ห้อง,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ไม่ต้องไล่ให้ไปสวดมนต์นั่งสมาธิไม่ต้องไล่ให้ไปหาหมอไปบำบัดไปกินยาไม่ต้องไล่ให้ไปออกกำลังกายเพราะทั้งหมดที่ว่ามาเราทำหมดแล้วแต่มันไม่หายไงไม่หายจนท้อแล้วหรือทางที่ง่ายที่สุดคือการหายไปจากโลกใบนี้กันนะท้องฟ้าในวันพรุ่งนี้ไม่มีเราก็คงไม่เป็นไรหรอกเนอะโรคซึมเศร้า,"ไม่ต้อง,ไล่,สวดมนต์,นั่งสมาธิ,ไม่ต้อง,ไล่,ไปหา,หมอ,บำบัด,กิน,ยา,ไม่ต้อง,ไล่,ออกกำลังกาย,ทำ,หาย,หาย,ท้อ,หาย,โลก,ใบ,ท้องฟ้า,วันพรุ่งนี้,หรอก,เนอะ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เคยมั้ยดำเนินชีวิตได้ปกติในทุกวันบางครั้งก็เหมือนนั่งเหม่อลอยมองอะไรไปเรื่อยๆแต่ส่วนลึกๆในใจเหมือนเรากรีดร้องอยู่เป็นพันครั้งเหมือนกับถูกขังอยู่ในจิตใต้สำนึกที่เจ็บปวดโรคซึมเศร้า,"ดำเนินชีวิต,ปกติ,เหมือน,นั่ง,เหม่อลอย,ส่วนลึก,ใจ,เหมือน,กรีดร้อง,พัน,เหมือนกับ,ขัง,จิตใต้สำนึก,เจ็บปวด,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,บทบาทของเห็ดเมาต่อโรคซึมเศร้าผู้ป่วยหลายรายให้คำอธิบายหลังใช้ครั้งแรกว่าเหมือนโดยเปรียบเทียบกับคอมพิวเตอร์เหมือนการได้จัดเรียงข้อมูลมีรายงานซึมเศร้าลดลงอย่างเห็นได้ชัดหลังใช้ครั้งแรกการใช้เครื่องสมองผู้ใช้พบการทำงานดียิ่งขึ้น,"บทบาท,เห็ด,เมา,โรค,ซึมเศร้า,ผู้ป่วย,คำอธิบาย,ครั้งแรก,เหมือน,เปรียบเทียบ,คอมพิวเตอร์,เหมือน,จัดเรียง,ข้อมูล,รายงาน,ซึมเศร้า,ลดลง,เห็นได้ชัด,ครั้งแรก,เครื่อง,สมอง,ผู้ใช้,การทำงาน,ดี"
#โรคซึมเศร้า,1,ออกจากงานที่ทำมาหลายปีเพราะเป็นโรคซึมเศร้าเงินเก็บมีแสนค่ายาค่าเดินทางและชีวิตประจำวันจนตอนนี้จะหมดแล้วไม่กล้ากลับไปทำรู้เลยว่าไม่ไหวคงต้องหาอะไรทำที่บ้านค้าขายก็ไม่เอาไม่อยากเจอผู้คนไม่อยากพูดกับใครคงต้องทำเกี่ยวกับคอมพ์แล้วแหละอย่างน้อยก็ได้ค่ายา,"ออกจากงาน,ทำ,ปี,เป็นโรค,ซึมเศร้า,เงินเก็บ,แสน,ค่า,ยา,ค่าเดินทาง,ชีวิตประจำวัน,ตอนนี้,กล้า,ทำ,รู้,ไหว,ต้องหา,ทำ,บ้าน,ค้าขาย,เจอ,ผู้คน,ทำ,คอมพ์,ค่า,ยา"
#โรคซึมเศร้า,1,สงสัยเราอยู่แต่บ้านมากเกินไปจนลืมว่าสังคมภายนอกมันโหดร้ายผู้คนใจร้ายมากแค่ไหนพอเผลอให้ความไว้ใจเชื่อใจทุกอย่างก็พังลงโรคซึมเศร้า,"สงสัย,บ้าน,มากเกินไป,ลืม,สังคม,โหดร้าย,คนใจร้าย,เผลอ,ไว้ใจ,เชื่อใจ,พัง,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ก็เดี๋ยวนี้ยังมีป่าลึกๆที่วิวสวยๆไหมนะโรคซึมเศร้า,"เดี๋ยวนี้,ยังมี,ป่า,ลึก,วิว,สวย,ไหม,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ฉันเหนื่อยกับทุกๆอย่างกว่าจะผ่านไปแต่ละวันเหมือนแบตหมดอะบางทีก็อยากอยู่คนเดียวในห้องเงียบๆที่ไม่มีเสียงรบกวนใดๆแบบนี้เขาเรียกว่าอะไรโรคซึมเศร้าเธรดเศร้า,"เหนื่อย,แต่ละวัน,เหมือน,แบต,อะ,คนเดียว,ห้อง,เงียบๆ,เสียงรบกวน,แบบนี้,โรค,ซึมเศร้า,เธรด,เศร้า"
#โรคซึมเศร้า,1,กว่าจะผ่านไปได้แต่ละวันผมต้องใช้ยานอนหลับมากเท่าไหร่โรคซึมเศร้า,"แต่ละวัน,ผม,ยานอนหลับ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,โสมอินเดียแอชวาแกนดาโรคซึมเศร้าวิตามินอเมริกาประโยชน์ของโสมอินเดียที่มีผลต่อสมองไทรอยด์และกล้ามเนื้อ,"โสม,อินเดีย,แอ,ชวา,แกน,ดา,โรค,ซึมเศร้า,วิตามิน,อเมริกา,ประโยชน์,โสม,อินเดีย,มีผลต่อ,สมอง,ไทรอยด์,กล้ามเนื้อ"
#โรคซึมเศร้า,1,ชีวิตที่ไม่มีอะไรดีไม่ควรอยู่จนถึงตอนนี้ด้วยซ้ำโรคซึมเศร้า,"ชีวิต,ดี,ตอนนี้,ด้วยซ้ำ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,คุณเคยทำให้กำแพงของฉันเบาบางลงแล้วคุณก็เป็นคนทำให้กำแพงฉันหนาขึ้นเหมือนกันเธรดเธรดเศร้าเธรดคําพูดเธรดรวมเธรดคนใจร้ายเธรดซึมเศร้าโรคซึมเศร้าเธรดความรู้สึกเธรดคลั่งน้ำตาเธรดหนังสือเธรดปัญหาชีวิต,"กำแพง,เบาบาง,คน,กำแพง,หนา,เหมือนกัน,เธรดเธรด,เศร้า,เธรดคํา,เธรด,เธรด,คนใจร้าย,เธรด,ซึมเศร้า,โรค,ซึมเศร้า,เธรด,ความรู้สึก,เธรด,คลั่ง,น้ำตา,เธรด,หนังสือ,เธรด,ปัญหา,ชีวิต"
#โรคซึมเศร้า,1,ทำไมเราถึงได้ขี้ขลาดขนาดนี้จะตายยังไม่กล้าเลยโรคซึมเศร้า,"ขี้ขลาด,ขนาด,ตาย,กล้า,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เกือบจะได้มีความสุขอยู่แล้วเชียวเธรดเธรดเศร้าเธรดคําพูดเธรดรวมเธรดคนใจร้ายเธรดซึมเศร้าโรคซึมเศร้าเธรดความรู้สึกเธรดคลั่งน้ำตาเธรดหนังสือเธรดปัญหาชีวิต,"มีความสุข,อยู่แล้ว,เชียว,เธรดเธรด,เศร้า,เธรดคํา,เธรด,เธรด,คนใจร้าย,เธรด,ซึมเศร้า,โรค,ซึมเศร้า,เธรด,ความรู้สึก,เธรด,คลั่ง,น้ำตา,เธรด,หนังสือ,เธรด,ปัญหา,ชีวิต"
#โรคซึมเศร้า,1,อยากตายมีใครเคยฆ่าตัวตายแล้วไม่สำเร็จบ้างใช้วิธีไหนกันเหรอเราจะได้ตัดทิ้งโรคซึมเศร้า,"ตาย,ฆ่าตัวตาย,สำเร็จ,วิธี,เหรอ,ตัดทิ้ง,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,วันไหนที่คิดว่าจะได้ยิ้มมันก็ยิ้มไม่สุดทุกทีเพราะต้องมีอะไรมาทำให้แตกสลายตลอดเลยเธรดเธรดเศร้าเธรดคําพูดเธรดรวมเธรดคนใจร้ายเธรดซึมเศร้าโรคซึมเศร้าเธรดความรู้สึกเธรดคลั่งน้ำตาเธรดหนังสือเธรดปัญหาชีวิต,"ยิ้ม,ยิ้ม,แตกสลาย,เธรดเธรด,เศร้า,เธรดคํา,เธรด,เธรด,คนใจร้าย,เธรด,ซึมเศร้า,โรค,ซึมเศร้า,เธรด,ความรู้สึก,เธรด,คลั่ง,น้ำตา,เธรด,หนังสือ,เธรด,ปัญหา,ชีวิต"
#โรคซึมเศร้า,1,เด็กสาวคนนี้ยังคงกอดปลอบตัวเองอยู่ในทุกค่ำคืนนั่งมองอนาคตที่ยังหาไม่เจอคอยใช้คำพูดปลอบประโลมตัวเองทุกๆครั้งเพื่อไม่ให้จมดิ่งไปมากกว่านี้เธรดเธรดเศร้าเธรดคําพูดเธรดรวมเธรดซึมเศร้าโรคซึมเศร้าเธรดความรู้สึกเธรดคลั่งน้ำตาเธรดปัญหาชีวิต,"เด็กสาว,คน,กอด,ปลอบ,ตัวเอง,ค่ำคืน,นั่ง,อนาคต,หาไม่,เจอ,คอย,คำพูด,ปลอบประโลม,ตัวเอง,จม,ดิ่งไป,เธรดเธรด,เศร้า,เธรดคํา,เธรด,เธรด,ซึมเศร้า,โรค,ซึมเศร้า,เธรด,ความรู้สึก,เธรด,คลั่ง,น้ำตา,เธรด,ปัญหา,ชีวิต"
#โรคซึมเศร้า,1,เราไม่เหมาะกับการมีชีวิตอยู่แต่ตอนนี้เราไม่กล้าที่จะตายโรคซึมเศร้า,"เหมาะกับ,มีชีวิต,ตอนนี้,กล้า,ที่จะ,ตาย,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ฉันจมอยู่กับโลกความมืดฉันแค่ต้องการใครสักคนที่กอดฉันในวันที่ฉันไม่เหลือใครโรคซึมเศร้า,"จมอยู่กับ,โลก,ความมืด,ต้องการ,สัก,คน,กอด,วันที่,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,อยากให้ความรู้สึกเป็นรูปธรรมเขาจะได้เห็นว่าเราแตกสลายมากแค่ไหนเธรดเศร้าโรคซึมเศร้า,"ความรู้สึก,รูปธรรม,แตกสลาย,เธรด,เศร้า,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,มองไปทางไหนก็มีแต่ความว่างเปล่าโรคซึมเศร้า,"ความว่างเปล่า,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เราอยากทำเพื่อพวกแกในทุกทางเพราะเรารักพวกแกถึงจะรู้แก่ใจว่าพวกแกอาจจะไม่ต้องการโรคซึมเศร้า,"ทำ,รัก,รู้แก่ใจ,ไม่ต้องการ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เต๋าเคลื่อนไหวล่าสุดออกมาเจอพี่ๆน้องๆวันอาทิตย์ชาวเน็ตแห่คอมเมนต์ให้กำลังใจมาดามเม้าท์ทีเจเต๋าโรคซึมเศร้า,"เต๋า,เคลื่อนไหว,ออกมา,เจอ,พี่,น้องๆ,วันอาทิตย์,เน็ต,แห่,คอมเมนต์,ให้กำลังใจ,มาดาม,เม้าท์,เจ,เต๋า,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เพิ่มยาอีกแล้วววจากเป็นราคาต่อเดือนขึ้นอีกบาทโรคซึมเศร้าหมอบอกภาวะตอนนี้เสี่ยงฆ่าตัวตายมากเกินไปเฮ้อชีวิตมันแย่จังว่ะ,"ยา,อีกแล้ว,ว,วจา,ก,ราคา,เดือนขึ้น,บาท,โรค,ซึมเศร้า,หมอ,ภาวะ,ตอนนี้,เสี่ยง,ฆ่าตัวตาย,มากเกินไป,เฮ้อ,ชีวิต,แย่จัง,ว่ะ"
#โรคซึมเศร้า,1,ใครเคยรักษากับหมอคนนี้ไหมเอ่ยอยากรู้ว่าเวลารักษาหมอเป็นยังไงปลรพรามาจ้าโรคซึมเศร้า,"รักษา,หมอ,คน,ไหม,เอ่ย,อยากรู้,เวลา,รักษา,หมอ,ปลรพ,รามา,โรค,ซึมเศร้า"
